Name,BattingAVG,EconomyRate,BattingS/R,BowlingAVG
Rasikh Dar,,10.5,125,
Ramesh Kumar,,,,
Aman Khan,,,,
Baba Indrajith,,,,
Rishabh Pant,35.18,,147.46,
Shardul Thakur,6.62,8.89,112.76,27.86
Axar Patel,17.32,7.22,125.23,29.07
Prithvi Shaw,24.62,,146.3,
Mitchell Marsh,17.3,7.89,114.21,21
Anrich Nortje,7,7.65,65.66,20.55
David Warner,41.59,12,139.96,
Khaleel Ahmed,0.33,8.68,20,24.56
Chetan Sakariya,3.2,8.19,64,30.42
Rovman Powell,,,,
Kuldeep Yadav,9.5,8.27,76,30.9
Srikar Bharat,38.2,,122.43,
Mustafizur Rahman,9,7.83,52.94,29.5
Kamlesh Nagarkoti,,9.14,,51.2
Mandeep Singh,22.02,13,124.09,
Lalit Yadav,34,25.5,93.15,7.21
Yash Dhull,,,,
Lungi Ngidi,,8.29,0,17.92
Tim Seifert,2,,50,
Pravin Dubey,,9,53.84,
Ashwin Hebbar,,,,
Ripal Patel,25,7.33,92.59,
Vicky Ostwal,,,,
Sarfaraz Khan,23.21,18,138.24,
KL Rahul,47.43,,136.37,
Avesh Khan,9,7.23,60,25.82
Marcus Stoinis,27.69,9.5,135.81,32.3
Jason Holder,14.53,8.2,121.15,22.45
Krunal Pandya,22.86,7.36,138.54,34.76
Mark Wood,1,12.25,33.33,
Quinton de Kock,31.33,,130.93,
Deepak Hooda,16.7,8.45,99.53,34.88
Manish Pandey,30.68,,121.83,
Ravi Bishnoi,4,6.96,50,25.25
Evin Lewis,,,,
Dushmantha Chameera,,,,
Krishnappa Gowtham,14.3,8.26,139.09,43.23
Kyle Mayers,,,,
Shahbaz Nadeem,2.78,7.56,44.82,37.16
Ankit Rajpoot,5.2,9.23,63.41,33.91
Mohsin Khan,,,,
Ayush Badoni,,,,
Karan Sharma,,,,
Mayank Yadav,,,,
Manan Vohra,22.42,,130.6,
Rashid Khan,32.25,8.33,91.03,20.55
Hardik Pandya,27.33,7.06,110.91,31.26
Lockie Ferguson,,8.11,151.22,27
Rahul Tewatia,,,,
Shubman Gill,31.48,,123,
Mohammed Shami,6.27,8.62,74.52,30.4
Yash Dayal,,,,
Ravisrinivasan Sai Kishore,,,,
David Miller,32.9,,136.51,
Abhinav Manohar,,,,
Alzarri Joseph,,10.03,115.38,14.5
Matthew Wade,7.33,,66.66,
Jason Roy,29.9,,129.02,
Wriddhiman Saha,24.53,,128.73,
Jayant Yadav,10,6.86,111.11,52.37
Vijay Shankar,26.37,8.62,126.24,36.55
Dominic Drakes,,,,
Varun Aaron,10,8.89,69.44,34.02
Gurkeerat Singh Mann,21.29,7.46,121.09,19.4
Noor Ahmad,,,,
Darshan Nalkande,,,,
Sai Sudharsan,,,,
Pradeep Sangwan,3.42,8.79,61.53,33.57
